Waiting for operation to complete...
Transcript: let's go for shopping i don't have the mood to go even the pontiff persons get depressed it's quite natural abc company but i could not do so i think i should have been more determined i took my golightly i underestimated my competitors i didn't see the future plan i would learn from my mistake and i hope i would hit my next target
Confidence: 0.8072242140769958
Word: let's, start_time: 0.6000000000000001, end_time: 1.1
Word: go, start_time: 1.1, end_time: 1.2
Word: for, start_time: 1.2, end_time: 1.4
Word: shopping, start_time: 1.4, end_time: 1.5
Word: i, start_time: 1.5, end_time: 2.6
Word: don't, start_time: 2.6, end_time: 3.0
Word: have, start_time: 3.0, end_time: 3.1
Word: the, start_time: 3.1, end_time: 3.2
Word: mood, start_time: 3.2, end_time: 3.4
Word: to, start_time: 3.4, end_time: 3.5
Word: go, start_time: 3.5, end_time: 3.7
Word: even, start_time: 3.7, end_time: 13.4
Word: the, start_time: 13.4, end_time: 13.6
Word: pontiff, start_time: 13.6, end_time: 14.0
Word: persons, start_time: 14.0, end_time: 14.5
Word: get, start_time: 14.5, end_time: 14.7
Word: depressed, start_time: 14.7, end_time: 15.0
Word: it's, start_time: 15.0, end_time: 15.4
Word: quite, start_time: 15.4, end_time: 15.6
Word: natural, start_time: 15.6, end_time: 15.8
Word: abc, start_time: 15.8, end_time: 25.3
Word: company, start_time: 25.3, end_time: 25.8
Word: but, start_time: 25.8, end_time: 26.3
Word: i, start_time: 26.3, end_time: 26.4
Word: could, start_time: 26.4, end_time: 26.6
Word: not, start_time: 26.6, end_time: 26.8
Word: do, start_time: 26.8, end_time: 27.0
Word: so, start_time: 27.0, end_time: 27.7
Word: i, start_time: 27.7, end_time: 27.7
Word: think, start_time: 27.7, end_time: 36.7
Word: i, start_time: 36.7, end_time: 36.9
Word: should, start_time: 36.9, end_time: 37.0
Word: have, start_time: 37.0, end_time: 37.3
Word: been, start_time: 37.3, end_time: 37.9
Word: more, start_time: 37.9, end_time: 38.1
Word: determined, start_time: 38.1, end_time: 38.3
Word: i, start_time: 38.3, end_time: 38.9
Word: took, start_time: 38.9, end_time: 39.2
Word: my, start_time: 39.2, end_time: 39.4
Word: golightly, start_time: 39.4, end_time: 40.0
Word: i, start_time: 40.0, end_time: 40.4
Word: underestimated, start_time: 40.4, end_time: 41.8
Word: my, start_time: 41.8, end_time: 42.0
Word: competitors, start_time: 42.0, end_time: 42.7
Word: i, start_time: 42.7, end_time: 43.3
Word: didn't, start_time: 43.3, end_time: 43.6
Word: see, start_time: 43.6, end_time: 44.4
Word: the, start_time: 44.4, end_time: 45.7
Word: future, start_time: 45.7, end_time: 45.8
Word: plan, start_time: 45.8, end_time: 49.0
Word: i, start_time: 49.0, end_time: 49.2
Word: would, start_time: 49.2, end_time: 50.1
Word: learn, start_time: 50.1, end_time: 50.2
Word: from, start_time: 50.2, end_time: 50.4
Word: my, start_time: 50.4, end_time: 50.5
Word: mistake, start_time: 50.5, end_time: 50.9
Word: and, start_time: 50.9, end_time: 51.1
Word: i, start_time: 51.1, end_time: 51.1
Word: hope, start_time: 51.1, end_time: 51.3
Word: i, start_time: 51.3, end_time: 51.5
Word: would, start_time: 51.5, end_time: 51.8
Word: hit, start_time: 51.8, end_time: 52.0
Word: my, start_time: 52.0, end_time: 52.2
Word: next, start_time: 52.2, end_time: 52.5
Word: target, start_time: 52.5, end_time: 52.6
