Waiting for operation to complete...
Transcript: let's go for shopping i do not have the mood to go like you cannot be depressed even the positive person get depressed it is quite natural why are you depressed
Confidence: 0.9212436676025391
Word: let's, start_time: 0.2, end_time: 0.9
Word: go, start_time: 0.9, end_time: 1.1
Word: for, start_time: 1.1, end_time: 1.4
Word: shopping, start_time: 1.4, end_time: 1.4
Word: i, start_time: 1.4, end_time: 2.6
Word: do, start_time: 2.6, end_time: 2.9
Word: not, start_time: 2.9, end_time: 3.0
Word: have, start_time: 3.0, end_time: 3.2
Word: the, start_time: 3.2, end_time: 3.4
Word: mood, start_time: 3.4, end_time: 3.6
Word: to, start_time: 3.6, end_time: 3.7
Word: go, start_time: 3.7, end_time: 3.9
Word: like, start_time: 3.9, end_time: 12.4
Word: you, start_time: 12.4, end_time: 12.5
Word: cannot, start_time: 12.5, end_time: 12.7
Word: be, start_time: 12.7, end_time: 13.0
Word: depressed, start_time: 13.0, end_time: 13.5
Word: even, start_time: 13.5, end_time: 15.0
Word: the, start_time: 15.0, end_time: 15.0
Word: positive, start_time: 15.0, end_time: 15.5
Word: person, start_time: 15.5, end_time: 15.9
Word: get, start_time: 15.9, end_time: 16.2
Word: depressed, start_time: 16.2, end_time: 16.7
Word: it, start_time: 16.7, end_time: 17.2
Word: is, start_time: 17.2, end_time: 17.3
Word: quite, start_time: 17.3, end_time: 17.6
Word: natural, start_time: 17.6, end_time: 17.8
Word: why, start_time: 17.8, end_time: 18.9
Word: are, start_time: 18.9, end_time: 19.1
Word: you, start_time: 19.1, end_time: 19.2
Word: depressed, start_time: 19.2, end_time: 19.4
Transcript:  i wasn't able to hit my goal which go did you want to achieve i wanted to make a good business deal with abc company but could not do so lucky that i am the person who believes in hard work not in love you wanted to achieve your goal but you were not able to what can be the reason i think i should have been more determined i took my golightly i underestimated my competitors i did a mistake here consequently i had to see the face of the feet so what is your future plan i would learn from a mistake and i hope i would hate my next target now you seem to be in positive mood again would you like to go for shopping now
Confidence: 0.8644879460334778
Word: i, start_time: 21.1, end_time: 21.2
Word: wasn't, start_time: 21.2, end_time: 22.0
Word: able, start_time: 22.0, end_time: 22.0
Word: to, start_time: 22.0, end_time: 22.3
Word: hit, start_time: 22.3, end_time: 22.5
Word: my, start_time: 22.5, end_time: 22.6
Word: goal, start_time: 22.6, end_time: 22.7
Word: which, start_time: 22.7, end_time: 24.2
Word: go, start_time: 24.2, end_time: 24.4
Word: did, start_time: 24.4, end_time: 24.6
Word: you, start_time: 24.6, end_time: 24.7
Word: want, start_time: 24.7, end_time: 25.0
Word: to, start_time: 25.0, end_time: 25.0
Word: achieve, start_time: 25.0, end_time: 25.2
Word: i, start_time: 25.2, end_time: 26.4
Word: wanted, start_time: 26.4, end_time: 27.4
Word: to, start_time: 27.4, end_time: 27.5
Word: make, start_time: 27.5, end_time: 27.7
Word: a, start_time: 27.7, end_time: 27.7
Word: good, start_time: 27.7, end_time: 28.0
Word: business, start_time: 28.0, end_time: 28.5
Word: deal, start_time: 28.5, end_time: 28.8
Word: with, start_time: 28.8, end_time: 29.0
Word: abc, start_time: 29.0, end_time: 29.5
Word: company, start_time: 29.5, end_time: 30.0
Word: but, start_time: 30.0, end_time: 30.2
Word: could, start_time: 30.2, end_time: 30.4
Word: not, start_time: 30.4, end_time: 30.4
Word: do, start_time: 30.4, end_time: 30.7
Word: so, start_time: 30.7, end_time: 31.8
Word: lucky, start_time: 31.8, end_time: 32.2
Word: that, start_time: 32.2, end_time: 32.3
Word: i, start_time: 32.3, end_time: 32.5
Word: am, start_time: 32.5, end_time: 34.0
Word: the, start_time: 34.0, end_time: 34.2
Word: person, start_time: 34.2, end_time: 34.4
Word: who, start_time: 34.4, end_time: 34.7
Word: believes, start_time: 34.7, end_time: 35.2
Word: in, start_time: 35.2, end_time: 35.2
Word: hard, start_time: 35.2, end_time: 35.6
Word: work, start_time: 35.6, end_time: 35.9
Word: not, start_time: 35.9, end_time: 36.1
Word: in, start_time: 36.1, end_time: 36.2
Word: love, start_time: 36.2, end_time: 36.4
Word: you, start_time: 36.4, end_time: 37.2
Word: wanted, start_time: 37.2, end_time: 37.4
Word: to, start_time: 37.4, end_time: 37.6
Word: achieve, start_time: 37.6, end_time: 37.7
Word: your, start_time: 37.7, end_time: 38.1
Word: goal, start_time: 38.1, end_time: 38.3
Word: but, start_time: 38.3, end_time: 38.5
Word: you, start_time: 38.5, end_time: 38.7
Word: were, start_time: 38.7, end_time: 38.8
Word: not, start_time: 38.8, end_time: 38.8
Word: able, start_time: 38.8, end_time: 39.0
Word: to, start_time: 39.0, end_time: 39.4
Word: what, start_time: 39.4, end_time: 39.8
